Close,Symbol,Adj Close,Close_lag_1,Low,Midpoint,High,Open,Close_lag_3
49631.2421875,3,49631.2421875,45137.76953125,45115.09375,47449.5546875,49784.015625,45159.50390625,46339.76171875
48378.98828125,3,48378.98828125,49631.2421875,47228.84375,48678.177734375,50127.51171875,49612.10546875,46188.453125
50538.2421875,3,50538.2421875,48378.98828125,48274.3203125,50404.728515625,52535.13671875,48415.81640625,45137.76953125
48561.16796875,3,48561.16796875,50538.2421875,47656.9296875,49696.009765625,51735.08984375,50522.3046875,49631.2421875
48927.3046875,3,48927.3046875,48561.16796875,46542.515625,47969.47265625,49396.4296875,48527.03125,48378.98828125
48912.3828125,3,48912.3828125,48927.3046875,47257.52734375,48202.373046875,49147.21875,48899.23046875,50538.2421875
51206.69140625,3,51206.69140625,48912.3828125,48918.6796875,50151.5234375,51384.3671875,48918.6796875,48561.16796875
52246.5234375,3,52246.5234375,51206.69140625,49506.0546875,50910.0625,52314.0703125,51174.1171875,48927.3046875
54824.1171875,3,54824.1171875,52246.5234375,51981.83203125,53402.974609375,54824.1171875,52272.96875,48912.3828125
56008.55078125,3,56008.55078125,54824.1171875,53290.890625,55274.572265625,57258.25390625,54824.01171875,51206.69140625
57805.12109375,3,57805.12109375,56008.55078125,54484.59375,56287.828125,58091.0625,55963.1796875,52246.5234375
57332.08984375,3,57332.08984375,57805.12109375,55376.6484375,56686.634765625,57996.62109375,57821.21875,54824.1171875
61243.0859375,3,61243.0859375,57332.08984375,56217.97265625,58950.91796875,61683.86328125,57343.37109375,56008.55078125
59302.31640625,3,59302.31640625,61243.0859375,59302.31640625,60450.1171875,61597.91796875,61221.1328125,57805.12109375
55907.19921875,3,55907.19921875,59302.31640625,55393.1640625,57967.078125,60540.9921875,59267.4296875,57332.08984375
56804.90234375,3,56804.90234375,55907.19921875,53555.02734375,55194.103515625,56833.1796875,55840.78515625,61243.0859375
58870.89453125,3,58870.89453125,56804.90234375,54528.62890625,56749.22265625,58969.81640625,56825.828125,59302.31640625
57858.921875,3,57858.921875,58870.89453125,54253.578125,57184.9140625,60116.25,58893.078125,55907.19921875
58346.65234375,3,58346.65234375,57858.921875,56643.703125,58071.0390625,59498.375,57850.44140625,56804.90234375
58313.64453125,3,58313.64453125,58346.65234375,58213.296875,59122.291015625,60031.28515625,58332.26171875,58870.89453125
57523.421875,3,57523.421875,58313.64453125,56005.6171875,57386.7578125,58767.8984375,58309.9140625,57858.921875
54529.14453125,3,54529.14453125,57523.421875,54288.15625,56379.818359375,58471.48046875,57517.890625,58346.65234375
54738.9453125,3,54738.9453125,54529.14453125,53470.6953125,54728.068359375,55985.44140625,54511.66015625,58313.64453125
52774.265625,3,52774.265625,54738.9453125,52514.33203125,54888.357421875,57262.3828125,54710.48828125,57523.421875
51704.16015625,3,51704.16015625,52774.265625,50856.5703125,52124.478515625,53392.38671875,52726.74609375,54529.14453125
55137.3125,3,55137.3125,51704.16015625,51579.85546875,53358.583984375,55137.3125,51683.01171875,54738.9453125
55973.51171875,3,55973.51171875,55137.3125,54242.91015625,55405.5625,56568.21484375,55137.56640625,52774.265625
55950.74609375,3,55950.74609375,55973.51171875,55071.11328125,55840.712890625,56610.3125,55974.94140625,51704.16015625
57750.19921875,3,57750.19921875,55950.74609375,55139.33984375,56740.71875,58342.09765625,55947.8984375,55137.3125
58917.69140625,3,58917.69140625,57750.19921875,57251.55078125,58349.38671875,59447.22265625,57750.1328125,55973.51171875
58918.83203125,3,58918.83203125,58917.69140625,57726.41796875,58828.22265625,59930.02734375,58930.27734375,55950.74609375
59095.80859375,3,59095.80859375,58918.83203125,58505.27734375,59045.673828125,59586.0703125,58926.5625,57750.19921875
59384.3125,3,59384.3125,59095.80859375,58869.28125,59568.234375,60267.1875,59098.87890625,58917.69140625
57603.890625,3,57603.890625,59384.3125,57603.890625,58857.080078125,60110.26953125,59397.41015625,58918.83203125
58758.5546875,3,58758.5546875,57603.890625,57168.67578125,58041.2109375,58913.74609375,57604.83984375,59095.80859375
59057.87890625,3,59057.87890625,58758.5546875,57694.82421875,58793.060546875,59891.296875,58760.875,59384.3125
58192.359375,3,58192.359375,59057.87890625,57646.80859375,58563.193359375,59479.578125,59171.93359375,57603.890625
56048.9375,3,56048.9375,58192.359375,55604.0234375,57167.583984375,58731.14453125,58186.5078125,58758.5546875
58323.953125,3,58323.953125,56048.9375,55879.0859375,57108.912109375,58338.73828125,56099.9140625,59057.87890625
58245.00390625,3,58245.00390625,58323.953125,57807.86328125,58372.455078125,58937.046875,58326.5625,58192.359375
59793.234375,3,59793.234375,58245.00390625,58038.70703125,59657.685546875,61276.6640625,58253.77734375,56048.9375
60204.96484375,3,60204.96484375,59793.234375,59289.796875,60040.17578125,60790.5546875,59846.23046875,58323.953125
59893.453125,3,59893.453125,60204.96484375,59589.875,60421.455078125,61253.03515625,60175.9453125,58245.00390625
